Year,Date_Collected,Species,Sex,Grams,Properly_Calibrated,Plot,,,,
2013,7/16/13,DM,F,,TRUE,2,,,,
2013,7/16/13,DM,M,33,TRUE,7,,,,
2013,7/16/13,DM,M,,TRUE,3,,,,
2013,7/16/13,DM,M,,TRUE,1,,,,
2013,7/18/13,DM,M,40,TRUE,3,,,,
2013,7/18/13,DM,M,48,TRUE,7,,,,
2013,7/18/13,DM,F,29,TRUE,4,,,,
2013,7/18/13,DM,F,37,TRUE,6,,,,
2013,8/19/13,DO,F,52,TRUE,8,,,,
2013,10/17/13,DO,F,33,TRUE,3,,,,
2013,10/17/13,DO,F,50,TRUE,3,,,,
2013,12/10/13,DO,F,40,TRUE,9,,,,
2013,12/10/13,DO,M,45,TRUE,1,,,,
2013,12/11/13,DO,F,41,TRUE,8,,,,
2013,11/12/13,DS,F,117,TRUE,9,,,,
2013,11/13/13,DS,F,126,TRUE,11,,,,
2013,11/13/13,DS,M,132,FALSE,17,,,,
2013,11/13/13,DS,F,113,FALSE,14,,,,
2013,11/13/13,DS,F,122,TRUE,11,,,,
2013,11/13/13,DS,F,107,TRUE,4,,,,
2013,11/13/13,DS,F,115,TRUE,4,,,,
2014,1/9/14,DM,M,40,TRUE,1,,,,
2014,1/9/14,DM,F,36,TRUE,1,,,,
2014,3/13/14,DM,F,51,TRUE,1,,,,
2014,3/13/14,DM,F,44,TRUE,1,,,,
2014,3/13/14,DS,F,146,TRUE,1,,,,
2014,1/8/14,NA,,,TRUE,2,,,,
2014,1/8/14,DM,M,44,TRUE,2,,,,
2014,1/8/14,PF,F,7,TRUE,2,,,,
2014,1/8/14,DM,M,45,TRUE,2,,,,
2014,1/8/14,OT,,,TRUE,2,,,,
2014,1/8/14,DS,M,157,FALSE,2,,,,
2014,1/8/14,OX,,,TRUE,2,,,,
2014,2/18/14,NA,M,218,FALSE,2,,,,
2014,2/18/14,PF,F,7,TRUE,2,,,,
2014,2/18/14,DM,M,52,TRUE,2,,,,
2015,3/11/15,PF,M,8,TRUE,3,,,,
2015,4/8/15,NA,F,,TRUE,3,,,,
2015,5/6/15,,,,TRUE,3,,,,
2015,5/18/15,NA,F,182,TRUE,3,,,,
2015,6/9/15,OT,F,29,TRUE,3,,,,
2015,7/8/15,NA,F,115,TRUE,3,,,,
2015,7/8/15,NA,M,190,TRUE,3,,,,
1978,1/8/78,DM,F,37,TRUE,4,,,,
1978,1/8/78,DM,M,,TRUE,4,,,,
1978,1/8/78,DM,F,48,TRUE,4,,,,
1978,1/8/78,DO,M,52,TRUE,4,,,,
1978,1/8/78,OL,M,35,TRUE,4,,,,